id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
1121,Location 1121,6,4,40.44,79.2,3,4,44.89,50.0,2,209,2
1122,Location 1122,18,5,3.57,51.0,6,2,401.36,85.6,2,259,6
1123,Location 1123,24,1,8.82,48.8,1,5,129.22,66.0,3,239,2
1124,Location 1124,10,4,17.45,99.9,6,3,365.45,71.0,1,302,4
1125,Location 1125,5,2,4.76,90.1,6,2,43.49,50.0,1,232,2
1126,Location 1126,23,3,12.51,58.6,1,2,478.0,94.8,3,282,3
1127,Location 1127,10,4,41.68,98.6,1,1,104.58,50.0,2,394,3
1128,Location 1128,12,4,47.46,75.5,3,5,442.54,86.7,2,418,2
1129,Location 1129,2,1,15.93,81.9,6,2,406.64,75.5,3,206,3
1130,Location 1130,13,3,13.96,32.2,4,5,484.25,95.0,1,264,1
1131,Location 1131,8,2,14.71,38.5,1,1,244.17,79.5,3,311,3
1132,Location 1132,2,4,14.61,74.3,5,5,366.42,90.0,1,697,4
1133,Location 1133,20,4,2.76,92.9,6,1,191.65,59.7,1,626,5
1134,Location 1134,1,1,46.42,73.7,1,1,100.34,52.9,1,79,2
1135,Location 1135,5,5,11.47,39.4,4,4,227.11,75.1,2,342,6
1136,Location 1136,9,2,21.58,38.1,7,5,91.22,68.2,2,562,2
1137,Location 1137,17,3,1.47,89.1,3,3,491.2,83.7,3,95,3
1138,Location 1138,9,4,43.04,39.8,6,4,57.16,61.5,3,351,3
1139,Location 1139,11,4,36.83,66.4,7,1,298.71,67.0,2,62,5
1140,Location 1140,15,2,47.39,32.6,1,3,316.97,77.5,3,142,5
1141,Location 1141,24,5,39.3,35.6,1,2,273.66,81.2,2,111,6
1142,Location 1142,6,4,16.37,77.1,5,2,334.47,81.1,2,616,4
1143,Location 1143,23,2,13.15,78.2,5,4,66.93,60.0,1,527,1
1144,Location 1144,3,1,35.19,53.9,6,3,281.96,84.7,1,671,4
1145,Location 1145,17,5,18.84,45.1,7,5,150.73,66.8,2,157,6
1146,Location 1146,5,3,28.74,87.0,7,3,470.69,87.7,1,539,2
1147,Location 1147,12,4,1.31,45.2,1,4,383.42,95.0,2,597,3
1148,Location 1148,18,2,4.03,67.9,6,5,486.53,90.0,1,9,4
1149,Location 1149,14,1,27.23,97.8,1,5,28.4,50.0,3,276,3
1150,Location 1150,21,3,28.74,40.3,5,2,149.72,67.1,3,227,3
1151,Location 1151,24,2,37.82,95.9,4,3,105.76,51.6,2,186,4
1152,Location 1152,11,2,7.47,42.8,2,5,15.47,61.3,2,591,4
1153,Location 1153,9,3,26.15,69.7,2,4,128.74,62.6,1,216,5
1154,Location 1154,2,1,10.53,56.4,1,2,342.6,87.2,1,433,6
1155,Location 1155,12,1,5.57,97.5,7,5,123.23,50.2,2,569,6
1156,Location 1156,3,5,21.11,49.1,5,3,259.41,82.8,3,656,1
1157,Location 1157,3,4,9.0,58.0,3,2,445.03,91.0,3,356,5
1158,Location 1158,1,3,11.87,98.8,3,3,349.94,73.2,2,392,1
1159,Location 1159,8,3,16.56,67.6,2,3,203.37,71.3,3,579,4
1160,Location 1160,22,3,13.71,65.2,4,3,192.51,65.6,2,275,6
1161,Location 1161,8,1,5.29,48.0,2,2,233.31,81.4,1,494,6
1162,Location 1162,11,4,5.41,79.1,1,5,96.75,56.8,3,617,1
1163,Location 1163,9,5,10.47,31.0,4,1,320.66,91.7,3,451,2
1164,Location 1164,5,2,3.48,33.5,3,5,188.43,81.4,1,420,5
1165,Location 1165,14,2,31.7,72.0,7,2,427.66,92.4,1,700,5
1166,Location 1166,3,3,15.08,53.9,5,1,380.71,83.5,3,164,5
1167,Location 1167,21,4,14.71,96.7,5,1,309.15,68.5,3,563,6
1168,Location 1168,5,1,17.27,93.2,1,1,188.46,62.4,2,638,3
1169,Location 1169,5,4,33.48,80.0,2,4,112.87,56.6,2,592,6
1170,Location 1170,19,4,43.66,87.3,1,2,390.31,75.2,3,183,3
1171,Location 1171,14,1,38.2,76.7,5,4,248.34,70.0,2,310,6
1172,Location 1172,26,3,36.65,38.8,3,1,120.13,66.8,1,17,4
1173,Location 1173,4,4,24.74,83.6,5,4,105.64,56.8,2,446,6
1174,Location 1174,25,2,35.0,44.7,4,4,91.05,60.7,2,170,4
1175,Location 1175,13,1,28.09,52.6,7,2,390.81,84.5,3,280,3
1176,Location 1176,10,5,11.6,87.3,7,3,122.2,50.0,2,340,5
1177,Location 1177,25,3,11.22,67.6,6,4,268.05,69.4,3,519,3
1178,Location 1178,18,1,15.52,90.2,5,4,231.26,59.3,3,11,1
1179,Location 1179,8,5,45.63,44.9,5,1,294.01,80.3,3,524,5
1180,Location 1180,8,5,27.82,72.5,7,1,439.81,91.2,1,622,6
1181,Location 1181,7,4,36.96,35.9,6,1,435.2,90.3,2,133,6
1182,Location 1182,8,4,17.98,75.0,4,5,231.03,72.6,2,640,6
1183,Location 1183,14,4,20.98,83.4,2,4,17.53,50.0,2,148,6
1184,Location 1184,19,1,7.15,70.9,5,1,218.96,70.6,3,566,6
1185,Location 1185,6,1,9.39,48.6,7,2,307.03,78.1,1,79,3
1186,Location 1186,1,3,41.54,32.2,1,5,283.3,80.4,3,346,4
1187,Location 1187,23,4,29.66,38.4,5,3,329.15,93.6,2,609,3
1188,Location 1188,15,5,17.54,73.6,1,4,85.5,51.0,3,249,2
1189,Location 1189,1,2,40.34,95.4,4,4,326.8,70.5,3,639,3
1190,Location 1190,25,3,13.08,44.5,5,2,99.5,64.8,2,542,5
1191,Location 1191,17,1,48.83,81.5,7,3,377.76,65.4,3,24,6
1192,Location 1192,1,3,17.9,90.7,4,3,176.15,58.6,3,471,3
1193,Location 1193,15,3,17.53,66.5,4,5,357.85,82.4,1,201,4
1194,Location 1194,23,3,16.28,76.8,2,4,33.45,50.0,3,131,6
1195,Location 1195,2,3,6.98,87.1,5,1,209.85,71.1,1,634,1
1196,Location 1196,14,2,6.45,48.2,1,2,355.47,95.0,2,356,2
1197,Location 1197,21,4,32.76,50.8,1,2,121.17,63.4,1,150,5
1198,Location 1198,8,5,43.88,30.0,5,2,399.69,95.0,3,526,4
1199,Location 1199,8,3,39.74,97.4,6,2,319.08,67.5,2,304,2
1200,Location 1200,19,3,7.91,94.2,2,1,297.91,72.8,3,541,3
1201,Location 1201,7,3,27.73,83.5,2,1,183.24,56.3,3,50,2
1202,Location 1202,19,4,6.17,35.5,2,5,246.4,90.8,1,464,6
1203,Location 1203,6,1,3.22,61.3,1,4,302.7,73.4,3,240,6
1204,Location 1204,6,1,33.16,37.1,4,1,241.51,90.1,1,482,1
1205,Location 1205,3,2,27.22,31.1,7,5,352.17,91.6,2,455,2
1206,Location 1206,7,1,5.02,73.1,6,3,222.51,64.2,2,283,2
1207,Location 1207,19,3,2.71,97.3,2,4,109.11,50.0,3,335,6
1208,Location 1208,8,3,49.5,93.2,1,1,114.83,54.6,1,352,3
1209,Location 1209,10,3,2.47,78.8,1,3,12.84,50.0,3,668,3
1210,Location 1210,20,2,22.78,36.8,4,5,157.47,71.9,3,649,5
1211,Location 1211,15,3,25.73,49.2,5,1,376.97,85.9,3,327,3
1212,Location 1212,15,1,6.75,52.4,5,1,399.14,87.1,3,336,2
1213,Location 1213,1,4,9.28,83.4,7,3,109.21,58.4,1,666,1
1214,Location 1214,20,4,18.24,86.2,7,1,479.93,77.2,3,81,3
1215,Location 1215,7,5,38.32,57.0,2,2,256.18,71.1,2,87,6
1216,Location 1216,4,1,25.85,59.3,7,1,459.32,92.6,1,258,6
1217,Location 1217,6,3,32.26,33.1,2,4,356.31,85.6,3,185,5
1218,Location 1218,25,4,49.27,50.2,6,3,363.99,85.6,1,692,5
1219,Location 1219,1,1,38.63,61.6,7,4,51.67,54.8,3,698,2
1220,Location 1220,5,4,22.28,38.2,4,5,117.8,64.3,2,123,3
1221,Location 1221,23,3,22.88,61.7,2,4,14.32,50.7,2,96,3
1222,Location 1222,1,4,31.32,89.7,4,2,360.9,77.8,2,605,5
1223,Location 1223,4,5,33.6,70.7,1,2,178.77,73.2,1,515,3
1224,Location 1224,22,5,25.53,35.5,2,4,395.46,95.0,2,443,2
1225,Location 1225,2,4,32.6,43.4,1,5,176.08,73.8,3,514,1
1226,Location 1226,10,1,2.15,63.2,3,1,411.47,83.7,3,371,6
1227,Location 1227,5,1,22.05,55.3,4,2,74.04,56.0,3,305,2
1228,Location 1228,10,1,14.67,55.1,3,4,94.95,63.7,1,357,3
1229,Location 1229,1,4,7.33,67.0,2,4,177.03,65.9,1,148,2
1230,Location 1230,22,1,5.88,70.9,1,4,210.16,65.8,2,285,6
1231,Location 1231,6,3,30.56,85.8,2,1,180.86,68.1,1,657,4
1232,Location 1232,13,5,26.66,53.9,3,3,384.19,85.3,3,262,6
1233,Location 1233,15,3,13.43,86.4,2,5,57.51,50.0,3,574,6
1234,Location 1234,4,1,24.08,53.7,6,3,182.1,69.0,3,491,4
1235,Location 1235,13,3,25.12,33.9,5,5,420.25,95.0,1,31,3
1236,Location 1236,24,1,10.56,68.8,3,5,42.73,52.7,3,268,3
1237,Location 1237,20,4,32.95,71.2,2,4,471.75,85.8,2,12,1
1238,Location 1238,24,3,39.27,95.4,1,2,493.3,88.4,1,191,6
1239,Location 1239,15,4,39.78,80.8,2,4,53.4,50.0,3,400,2
1240,Location 1240,8,4,30.52,94.2,1,1,152.72,58.4,3,537,1
1241,Location 1241,5,2,26.07,93.6,5,5,192.48,57.9,1,91,3
1242,Location 1242,15,1,3.99,72.3,2,2,390.43,89.4,1,600,3
1243,Location 1243,4,5,15.1,66.9,7,5,302.0,76.4,2,501,5
1244,Location 1244,12,1,5.57,69.0,7,5,325.74,78.1,1,301,1
1245,Location 1245,13,5,48.23,98.5,5,4,381.18,69.1,3,111,3
1246,Location 1246,2,1,7.62,84.1,3,2,67.81,50.0,2,80,4
1247,Location 1247,19,4,8.44,37.4,1,2,418.27,95.0,3,652,5
1248,Location 1248,19,3,44.59,84.5,7,5,355.75,72.4,3,433,2
1249,Location 1249,4,3,47.25,41.9,6,2,292.9,76.5,3,417,5
1250,Location 1250,4,2,38.53,61.3,3,2,445.97,94.1,1,214,6
1251,Location 1251,26,5,1.26,44.7,1,4,353.15,90.7,1,447,6
1252,Location 1252,11,5,1.07,78.3,5,3,108.83,50.0,3,18,2
1253,Location 1253,5,5,19.53,91.4,7,1,220.58,56.6,1,54,4
1254,Location 1254,20,4,8.03,50.3,4,3,252.08,78.1,3,609,2
1255,Location 1255,11,5,1.9,35.7,2,2,37.06,67.3,1,240,1
1256,Location 1256,10,3,23.74,50.9,5,5,477.77,95.0,1,418,2
1257,Location 1257,8,4,47.21,77.1,1,1,73.0,57.3,1,486,2
1258,Location 1258,6,1,16.87,53.0,1,1,351.76,85.2,2,444,5
1259,Location 1259,6,5,33.4,49.5,1,5,258.05,89.3,1,566,4
1260,Location 1260,8,5,32.96,42.9,1,1,22.56,64.0,2,599,2
1261,Location 1261,23,1,13.3,64.8,2,5,463.13,91.4,2,123,1
1262,Location 1262,15,5,32.87,49.3,3,1,427.4,91.8,2,420,5
1263,Location 1263,26,1,11.4,81.2,6,3,266.89,67.0,3,566,4
1264,Location 1264,14,4,6.98,35.4,4,1,122.18,77.8,1,216,4
1265,Location 1265,11,3,35.37,76.5,2,4,69.6,52.2,3,420,3
1266,Location 1266,12,1,6.56,46.6,1,5,188.06,74.5,2,551,6
1267,Location 1267,26,2,49.85,64.2,2,1,135.16,61.0,1,228,1
1268,Location 1268,13,1,9.99,50.0,5,5,258.28,74.5,3,237,6
1269,Location 1269,8,5,30.11,80.6,6,4,483.54,90.2,2,644,5
1270,Location 1270,18,4,21.16,96.2,1,1,291.73,65.7,3,330,5
1271,Location 1271,25,4,7.19,94.2,4,1,446.07,81.4,3,469,1
1272,Location 1272,1,1,2.36,70.8,1,4,328.93,86.3,1,680,4
1273,Location 1273,15,3,31.51,62.4,6,4,242.87,73.1,1,487,2
1274,Location 1274,8,2,40.53,87.3,4,4,428.76,82.9,3,549,1
1275,Location 1275,11,4,42.26,77.8,6,5,240.97,65.8,1,579,5
1276,Location 1276,12,5,24.65,42.8,4,4,435.63,95.0,1,623,6
1277,Location 1277,12,5,39.1,87.5,3,5,152.87,57.6,3,415,1
1278,Location 1278,4,3,33.97,60.0,7,3,73.12,58.3,1,219,4
1279,Location 1279,16,4,36.49,43.2,3,1,429.1,95.0,1,381,3
1280,Location 1280,4,1,25.14,49.7,2,1,297.83,86.0,2,87,3
1281,Location 1281,5,5,32.04,48.7,2,2,445.66,95.0,1,461,2
1282,Location 1282,24,3,40.47,66.3,4,3,469.54,93.7,2,411,2
1283,Location 1283,5,4,20.5,46.4,1,4,36.28,65.6,3,691,4
1284,Location 1284,8,4,40.49,38.6,7,4,255.47,81.6,2,525,6
1285,Location 1285,10,4,30.01,38.7,5,3,193.73,73.8,3,447,2
1286,Location 1286,17,4,9.13,70.8,5,4,316.67,80.8,1,300,3
1287,Location 1287,26,4,2.21,81.4,1,2,398.86,85.8,1,408,4
1288,Location 1288,9,5,18.77,52.5,1,5,147.49,74.3,2,637,4
1289,Location 1289,22,3,27.79,32.4,3,1,282.83,84.7,3,375,4
1290,Location 1290,19,4,42.15,38.9,5,3,357.28,91.7,1,233,1
1291,Location 1291,14,2,7.25,94.0,4,1,75.87,53.9,2,638,6
1292,Location 1292,8,2,40.21,64.5,6,5,408.89,85.1,2,650,6
1293,Location 1293,9,3,43.29,61.8,2,3,306.99,74.9,2,49,2
1294,Location 1294,22,1,8.38,32.7,6,5,475.27,95.0,1,186,6
1295,Location 1295,11,1,42.73,81.0,3,4,176.37,52.6,3,205,5
1296,Location 1296,23,1,49.58,67.0,5,4,62.99,53.4,1,78,3
1297,Location 1297,1,2,36.62,44.1,7,4,258.19,80.6,1,481,2
1298,Location 1298,14,1,39.45,37.7,1,5,52.05,62.2,3,386,6
1299,Location 1299,5,5,49.73,56.8,7,5,485.07,86.7,2,194,3
1300,Location 1300,21,4,30.67,88.6,7,5,28.96,50.0,1,103,2
1301,Location 1301,26,2,16.09,90.6,5,1,379.22,79.4,2,617,5
1302,Location 1302,14,3,42.04,72.2,4,5,267.3,72.9,2,376,3
1303,Location 1303,4,3,31.11,80.9,3,4,190.62,61.1,3,287,5
1304,Location 1304,22,4,29.48,38.1,1,2,42.26,62.5,3,482,3
1305,Location 1305,23,2,13.43,71.2,6,5,314.86,71.8,3,250,1
1306,Location 1306,25,1,38.06,76.7,4,2,296.76,70.9,2,201,1
1307,Location 1307,1,1,5.0,44.0,6,4,147.63,68.3,2,536,3
1308,Location 1308,22,5,46.29,91.6,2,5,456.01,86.9,1,461,3
1309,Location 1309,23,5,16.97,43.6,3,1,159.01,70.1,2,300,5
1310,Location 1310,19,1,7.26,51.9,4,1,230.37,75.8,3,478,6
1311,Location 1311,8,3,22.68,73.4,4,2,276.44,69.2,3,83,4
1312,Location 1312,15,3,3.08,74.7,6,1,59.11,50.0,3,458,3
1313,Location 1313,21,5,34.55,79.0,1,1,466.76,91.8,3,691,2
1314,Location 1314,15,4,45.23,37.8,2,1,193.52,70.9,2,298,2
1315,Location 1315,9,1,42.03,89.5,6,4,49.58,50.0,3,364,2
1316,Location 1316,21,5,7.24,67.3,4,1,199.77,66.3,1,40,1
1317,Location 1317,9,5,7.19,63.0,3,3,304.1,83.5,2,625,6
1318,Location 1318,10,1,40.86,98.7,4,5,261.69,56.3,3,340,5
1319,Location 1319,20,1,46.29,81.8,5,1,350.33,76.8,1,516,6
1320,Location 1320,25,3,23.57,38.3,3,1,37.19,54.7,3,108,1
1321,Location 1321,21,4,25.45,83.0,3,1,149.42,56.2,2,316,6
1322,Location 1322,26,4,16.59,36.7,4,3,411.42,90.6,2,114,6
1323,Location 1323,9,1,44.82,31.9,1,1,49.15,69.4,1,167,2
1324,Location 1324,3,2,32.6,58.3,3,1,429.19,92.1,2,261,3
1325,Location 1325,20,5,15.12,99.6,5,5,55.03,51.1,1,618,2
1326,Location 1326,25,5,15.64,42.2,6,3,418.88,84.3,3,224,6
1327,Location 1327,26,1,44.67,77.1,1,3,186.79,59.5,2,262,3
1328,Location 1328,11,2,1.67,42.1,1,1,309.98,79.7,3,251,5
1329,Location 1329,6,3,16.81,80.7,1,3,84.91,53.9,3,526,4
1330,Location 1330,2,1,28.16,65.4,3,2,42.42,51.7,2,126,3
1331,Location 1331,7,1,8.26,77.6,1,3,115.81,54.1,3,206,1
1332,Location 1332,18,5,5.51,44.2,4,3,72.65,64.7,1,140,2
1333,Location 1333,2,1,40.95,82.2,1,3,163.08,57.0,1,62,2
1334,Location 1334,17,1,44.83,99.7,5,4,262.05,62.3,1,283,6
1335,Location 1335,11,1,41.36,76.6,2,4,298.49,64.9,2,54,6
1336,Location 1336,12,5,45.04,64.5,5,4,397.04,80.6,3,346,6
1337,Location 1337,19,3,28.1,94.6,3,3,331.56,73.6,3,524,6
1338,Location 1338,22,3,40.8,31.1,1,2,308.29,81.0,3,136,2
1339,Location 1339,24,1,19.82,81.1,1,3,211.77,65.6,3,330,3
1340,Location 1340,25,5,33.65,92.2,4,1,242.17,61.6,1,144,5
1341,Location 1341,7,3,49.45,34.3,6,2,213.12,73.6,2,436,3
1342,Location 1342,20,3,12.06,61.5,1,4,422.66,90.9,1,282,1
1343,Location 1343,6,3,20.11,44.3,7,5,122.7,63.2,1,136,2
1344,Location 1344,21,5,24.52,69.7,5,2,12.8,51.9,2,489,3
1345,Location 1345,24,5,7.76,75.5,3,4,329.15,81.0,2,401,2
1346,Location 1346,1,1,4.97,51.2,2,2,109.21,68.5,1,449,1
1347,Location 1347,17,4,41.66,62.2,1,2,446.16,91.9,3,635,4
1348,Location 1348,11,3,48.86,49.6,2,3,430.93,95.0,2,628,4
1349,Location 1349,22,4,20.83,55.9,1,1,47.6,62.6,2,669,4
1350,Location 1350,26,5,5.29,41.2,3,5,62.13,69.4,1,270,2
1351,Location 1351,18,5,4.22,92.0,6,4,252.63,56.8,3,17,3
1352,Location 1352,21,5,44.67,30.7,5,2,308.52,84.0,2,269,2
1353,Location 1353,17,4,23.73,91.8,3,5,144.71,59.6,1,482,5
1354,Location 1354,7,5,16.68,70.0,2,2,361.23,80.9,2,219,3
1355,Location 1355,17,1,24.35,53.2,1,1,301.51,79.7,3,319,1
1356,Location 1356,20,5,16.6,80.6,2,5,169.16,59.6,1,238,6
1357,Location 1357,9,2,24.96,65.5,5,4,22.43,60.8,1,545,4
1358,Location 1358,17,4,43.12,64.9,7,2,377.57,75.8,3,285,3
1359,Location 1359,20,2,30.02,37.7,3,1,115.23,66.0,1,37,3
1360,Location 1360,22,5,35.04,57.3,2,5,418.89,86.2,3,103,4
1361,Location 1361,22,1,18.87,46.9,2,2,215.94,80.2,1,430,1
1362,Location 1362,8,3,37.19,31.1,5,2,292.77,91.0,3,654,2
1363,Location 1363,17,5,33.66,55.2,7,4,437.74,88.5,2,239,2
1364,Location 1364,7,1,6.86,36.3,1,1,433.18,95.0,2,645,6
1365,Location 1365,1,4,29.06,48.0,7,3,192.04,65.3,2,125,3
1366,Location 1366,13,2,13.58,36.5,2,2,112.36,81.6,1,565,4
1367,Location 1367,23,2,40.4,37.1,5,5,389.82,92.4,3,600,5
1368,Location 1368,19,2,21.87,43.9,1,4,222.21,81.2,3,610,1
1369,Location 1369,24,4,49.74,100.0,7,4,104.1,50.0,2,607,2
1370,Location 1370,19,1,5.53,30.2,7,2,453.17,95.0,2,188,1
1371,Location 1371,17,4,39.24,74.7,7,2,107.07,52.8,2,256,1
1372,Location 1372,13,2,34.01,39.9,6,2,22.65,61.7,3,585,6
1373,Location 1373,16,5,38.61,94.4,1,3,19.94,50.0,2,530,1
1374,Location 1374,8,3,16.07,36.6,7,2,314.93,92.8,1,676,4
1375,Location 1375,19,4,25.11,96.9,6,1,334.22,69.3,2,392,6
1376,Location 1376,18,4,40.03,72.8,3,5,162.41,66.2,2,658,4
1377,Location 1377,1,1,12.39,30.1,5,2,166.81,73.1,3,468,6
1378,Location 1378,14,1,12.08,92.6,7,3,176.35,59.0,1,253,4
1379,Location 1379,19,4,28.0,66.5,1,5,343.28,84.8,3,672,6
1380,Location 1380,15,2,26.65,48.4,6,4,38.49,57.4,1,561,6
1381,Location 1381,18,3,14.83,83.7,6,2,465.27,86.0,1,176,3
1382,Location 1382,2,1,15.61,94.9,3,5,119.04,55.1,2,466,4
1383,Location 1383,22,2,14.61,63.9,4,4,499.84,95.0,2,577,3
1384,Location 1384,17,5,38.8,52.1,5,3,94.05,58.5,3,289,6
1385,Location 1385,18,1,32.94,85.2,4,1,388.06,75.6,3,50,2
1386,Location 1386,6,2,41.79,77.7,1,2,119.47,50.0,3,4,6
1387,Location 1387,19,2,48.8,92.2,5,1,49.61,53.9,1,631,2
1388,Location 1388,4,3,24.23,78.5,3,3,438.72,89.7,3,500,2
1389,Location 1389,1,3,4.27,47.0,1,5,430.79,95.0,1,676,2
1390,Location 1390,8,5,3.36,95.2,5,5,207.75,63.7,1,223,2
1391,Location 1391,23,2,15.49,37.3,5,3,354.17,95.0,1,668,4
1392,Location 1392,7,2,46.69,48.8,4,3,282.96,78.4,1,262,5
1393,Location 1393,3,3,26.64,66.4,1,2,427.95,95.0,1,685,4
1394,Location 1394,10,1,14.32,69.6,3,4,164.38,63.5,2,535,5
1395,Location 1395,10,1,20.56,31.1,3,1,266.6,91.6,1,376,4
1396,Location 1396,19,4,30.33,84.6,1,1,247.83,69.1,1,61,2
1397,Location 1397,14,3,32.99,55.3,1,5,183.41,72.8,2,356,1
1398,Location 1398,2,4,8.54,58.4,6,5,446.81,92.2,2,646,6
1399,Location 1399,1,3,48.87,86.7,2,2,91.28,50.0,2,24,5
1400,Location 1400,23,5,27.69,56.5,4,3,83.26,59.3,3,293,1
1401,Location 1401,23,2,7.65,33.3,1,1,292.69,93.0,3,557,2
1402,Location 1402,18,5,44.79,42.4,1,2,332.17,91.9,1,691,5
1403,Location 1403,7,3,4.66,96.9,2,5,105.36,54.7,1,356,1
1404,Location 1404,8,2,45.48,34.9,2,5,201.45,82.4,1,575,4
1405,Location 1405,1,1,49.83,54.8,5,1,473.82,91.9,1,29,2
1406,Location 1406,25,1,35.32,65.2,7,5,130.84,57.1,2,357,4
1407,Location 1407,23,4,38.75,64.5,3,5,337.5,81.4,3,365,4
1408,Location 1408,3,3,17.53,30.3,4,4,372.67,95.0,2,608,2
1409,Location 1409,24,3,47.14,65.1,5,3,229.58,68.0,3,409,5
1410,Location 1410,23,1,26.96,56.9,1,5,469.39,94.3,2,266,6
1411,Location 1411,8,5,36.89,98.0,2,4,370.96,78.9,1,291,3
1412,Location 1412,22,2,46.28,41.1,6,2,234.38,78.5,3,567,3
1413,Location 1413,25,5,48.78,54.8,3,5,288.97,73.7,1,153,6
1414,Location 1414,15,5,41.83,59.4,5,2,349.38,75.9,3,219,2
1415,Location 1415,5,1,15.85,57.3,6,5,300.17,70.3,3,173,3
1416,Location 1416,3,1,48.36,76.6,3,1,440.56,90.9,1,608,6
1417,Location 1417,19,1,31.78,45.1,7,4,184.88,78.8,1,635,1
1418,Location 1418,1,4,46.6,45.5,7,4,156.94,64.2,1,12,6
1419,Location 1419,15,5,34.13,81.0,6,1,114.78,51.4,2,516,5
1420,Location 1420,8,3,16.05,65.0,2,3,28.51,50.9,3,362,6
1421,Location 1421,2,2,19.13,59.1,5,4,31.08,56.9,3,579,4
1422,Location 1422,3,4,27.97,41.8,5,2,436.33,95.0,3,657,4
1423,Location 1423,24,3,39.71,43.1,7,4,342.41,91.6,1,477,2
1424,Location 1424,14,5,16.58,30.7,3,3,333.66,94.8,3,577,4
1425,Location 1425,24,1,29.41,36.4,6,2,311.17,80.0,3,82,1
1426,Location 1426,14,5,17.94,69.0,2,2,426.12,95.0,1,617,6
1427,Location 1427,11,2,40.97,92.4,1,1,245.33,69.7,1,693,1
1428,Location 1428,16,4,23.87,50.1,5,5,436.5,92.3,3,340,2
1429,Location 1429,4,4,4.76,52.9,1,1,186.13,74.9,2,441,4
1430,Location 1430,20,2,9.14,38.1,2,5,464.09,95.0,1,617,3
1431,Location 1431,5,3,3.99,57.2,7,1,352.34,75.9,2,226,6
1432,Location 1432,22,3,25.47,32.6,5,5,136.02,73.1,2,371,3
1433,Location 1433,21,4,6.21,94.2,5,4,286.4,61.4,2,28,5
1434,Location 1434,14,4,6.59,77.1,6,2,271.18,65.7,2,16,2
1435,Location 1435,23,1,47.11,99.4,1,5,77.57,50.0,1,277,5
1436,Location 1436,16,3,43.76,91.8,7,4,299.71,60.7,3,333,3
1437,Location 1437,18,2,23.15,63.1,6,3,164.24,63.6,3,483,3
1438,Location 1438,7,3,49.3,66.4,4,1,35.65,57.0,1,566,3
1439,Location 1439,10,1,1.01,43.3,1,3,474.84,95.0,1,288,5
1440,Location 1440,7,4,31.08,62.3,1,4,324.33,78.3,2,114,2
1441,Location 1441,1,4,31.2,93.2,4,3,439.69,75.9,2,38,6
1442,Location 1442,23,1,23.41,33.6,2,3,341.27,94.9,1,454,6
1443,Location 1443,21,2,20.45,90.4,2,4,184.92,55.2,3,166,1
1444,Location 1444,19,4,23.31,53.9,5,2,261.22,85.2,2,694,1
1445,Location 1445,16,5,21.33,93.0,3,5,341.12,74.3,1,205,3
1446,Location 1446,19,4,36.79,95.9,6,1,480.52,85.9,1,245,2
1447,Location 1447,4,5,7.63,77.0,3,5,134.3,64.7,1,333,2
1448,Location 1448,18,1,10.68,76.5,5,1,438.74,89.7,2,396,4
1449,Location 1449,2,1,9.85,61.7,3,5,462.8,95.0,1,507,4
1450,Location 1450,1,4,13.86,88.5,1,3,338.5,67.2,3,121,5
1451,Location 1451,15,3,26.74,97.3,1,2,466.32,84.4,1,259,4
1452,Location 1452,5,5,6.45,84.3,4,3,204.96,61.2,2,410,6
1453,Location 1453,20,2,43.54,73.5,4,2,476.98,82.9,3,310,6
1454,Location 1454,11,4,15.57,72.5,5,4,354.36,72.4,3,68,5
1455,Location 1455,10,2,8.96,89.5,5,1,30.58,50.0,1,114,1
1456,Location 1456,2,4,34.11,67.9,7,1,454.37,89.1,1,220,3
1457,Location 1457,3,3,2.87,86.3,5,4,247.39,64.8,3,220,2
1458,Location 1458,23,3,31.38,65.6,1,5,235.56,78.3,1,473,1
1459,Location 1459,23,3,35.21,34.4,3,4,287.57,85.7,2,386,6
1460,Location 1460,12,3,11.53,56.9,6,4,83.2,54.3,3,298,1
1461,Location 1461,20,1,3.06,61.1,7,2,239.89,72.9,1,606,5
1462,Location 1462,5,1,18.82,39.9,7,4,417.25,87.2,3,253,3
1463,Location 1463,5,5,5.83,37.2,7,1,17.59,60.4,1,405,6
1464,Location 1464,6,2,6.71,67.5,5,3,143.73,65.6,1,492,5
1465,Location 1465,9,4,13.46,36.0,5,2,11.2,62.5,2,357,1
1466,Location 1466,2,4,15.48,51.2,1,2,213.7,78.8,1,428,2
1467,Location 1467,21,1,26.97,82.1,6,5,366.87,75.9,1,215,4
1468,Location 1468,12,4,34.24,97.5,1,3,401.4,80.1,1,380,5
1469,Location 1469,3,1,30.05,80.3,6,2,473.14,83.2,2,214,6
1470,Location 1470,20,5,8.27,99.5,1,4,308.17,66.9,1,98,1
1471,Location 1471,26,2,9.43,78.9,3,2,134.77,64.0,1,528,4
1472,Location 1472,22,5,44.06,50.6,5,2,462.83,95.0,1,666,4
1473,Location 1473,12,3,28.36,77.0,2,2,389.9,84.0,3,528,1
1474,Location 1474,24,3,43.63,79.2,2,5,291.47,76.6,2,620,3
1475,Location 1475,17,3,19.21,56.0,5,2,350.86,86.5,3,535,1
1476,Location 1476,10,5,31.11,31.2,7,2,462.92,95.0,2,554,6
1477,Location 1477,24,4,26.66,79.2,5,5,359.07,84.8,2,549,2
